Nr;Color;Sensor0;Red0;Green0;Blue0;Intensity0;Sensor1;Red1;Green1;Blue1;Intensity1
108032;Orange;0;17;19;14;5;1;32;33;26;10
108033;Orange;0;17;20;14;5;1;32;33;26;10
108034;Orange;0;17;20;14;5;1;32;33;26;10
108035;Orange;0;17;20;14;5;1;32;33;26;10
108036;Orange;0;17;20;14;5;1;32;33;26;10
108037;Orange;0;17;19;14;5;1;32;33;26;10
108038;Orange;0;17;19;14;5;1;32;33;26;10
108039;Orange;0;17;19;14;5;1;32;33;26;10
108040;Orange;0;17;21;14;5;1;32;33;26;10
108041;Orange;0;17;19;14;5;1;32;33;26;10
108042;Orange;0;17;19;14;5;1;32;32;26;10
108043;Orange;0;17;19;14;5;1;32;33;26;10
108044;Orange;0;17;20;14;5;1;32;33;26;10
108045;Orange;0;17;20;14;5;1;32;33;26;10
108046;Orange;0;17;20;14;5;1;32;32;26;10
108047;Orange;0;17;19;14;5;1;32;33;26;10
108048;Orange;0;17;19;14;5;1;32;33;26;10
108049;Orange;0;16;20;14;5;1;32;33;26;10
108050;Orange;0;17;20;14;5;1;32;33;26;10
108051;Orange;0;17;19;14;5;1;32;33;26;10
108052;Orange;0;17;19;14;5;1;32;33;31;10
108053;Orange;0;17;19;14;5;1;32;32;26;10
108054;Orange;0;17;19;14;5;1;32;32;26;10
108055;Orange;0;17;19;14;5;1;32;32;26;10
108056;Orange;0;17;20;15;5;1;32;33;26;10
108057;Orange;0;17;20;14;5;1;32;33;26;10
108058;Orange;0;17;20;14;5;1;32;33;26;10
108059;Orange;0;17;19;14;5;1;32;32;26;10
108060;Orange;0;17;20;14;5;1;32;33;26;10
108061;Orange;0;17;19;14;5;1;32;33;26;10
108062;Orange;0;17;20;14;5;1;32;33;26;10
108063;Orange;0;17;20;15;5;1;32;33;26;10
108064;Orange;0;17;19;14;5;1;32;33;26;10
108065;Orange;0;17;19;14;5;1;32;32;26;10
108066;Orange;0;17;19;14;5;1;32;33;26;10
108067;Orange;0;17;19;14;5;1;32;33;26;10
108068;Orange;0;17;20;14;5;1;32;33;26;10
108069;Orange;0;17;19;14;5;1;32;33;26;10
108070;Orange;0;12;19;14;5;1;32;33;26;10
108071;Orange;0;17;19;14;5;1;32;32;26;10
108072;Orange;0;17;19;14;5;1;32;33;26;10
108073;Orange;0;17;19;14;5;1;32;33;26;10
108074;Orange;0;17;19;14;5;1;32;33;26;10
108075;Orange;0;17;19;14;5;1;32;33;26;10
108076;Orange;0;17;19;14;5;1;32;33;26;10
108077;Orange;0;17;20;15;5;1;32;33;26;10
108078;Orange;0;17;19;14;5;1;32;32;26;10
108079;Orange;0;17;19;14;5;1;32;33;26;10
108080;Orange;0;17;20;14;5;1;32;33;26;10
108081;Orange;0;17;19;14;5;1;32;33;26;10
108082;Orange;0;17;20;14;5;1;32;27;26;10
108083;Orange;0;17;19;14;5;1;32;32;26;10
108084;Orange;0;17;20;14;5;1;32;33;26;10
108085;Orange;0;17;20;14;5;1;32;32;26;10
108086;Orange;0;17;20;14;5;1;32;33;26;10
108087;Orange;0;17;19;14;5;1;32;33;26;10
108088;Orange;0;17;20;14;5;1;32;33;26;10
108089;Orange;0;17;20;14;5;1;32;33;26;10
108090;Orange;0;17;19;14;5;1;32;33;26;10
108091;Orange;0;17;19;14;5;1;32;32;26;10
108092;Orange;0;17;20;14;5;1;32;33;26;10
108093;Orange;0;17;20;14;5;1;32;33;26;10
108094;Orange;0;17;20;14;5;1;32;33;26;10
108095;Orange;0;17;20;14;5;1;32;33;26;10
108096;Orange;0;17;20;14;5;1;32;32;26;10
108097;Orange;0;17;19;14;5;1;32;32;18;10
108098;Orange;0;17;20;14;5;1;32;33;26;10
108099;Orange;0;17;20;14;5;1;32;33;26;10
108100;Orange;0;17;20;13;5;1;32;33;26;10
108101;Orange;0;17;20;14;5;1;32;33;26;10
108102;Orange;0;17;20;14;5;1;32;33;26;10
108103;Orange;0;17;20;14;5;1;32;33;26;10
108104;Orange;0;17;20;14;5;1;32;33;26;10
108105;Orange;0;17;20;14;5;1;32;33;26;10
108106;Orange;0;17;20;14;5;1;32;33;26;10
108107;Orange;0;17;20;14;5;1;32;33;26;10
108108;Orange;0;17;20;14;5;1;32;33;26;10
108109;Orange;0;17;20;14;5;1;32;33;26;10
108110;Orange;0;17;20;14;5;1;32;33;26;10
108111;Orange;0;17;20;14;5;1;32;33;26;10
108112;Orange;0;17;20;15;5;1;32;33;26;10
108113;Orange;0;17;20;14;5;1;32;33;26;10
108114;Orange;0;17;20;14;5;1;32;32;26;10
108115;Orange;0;17;19;14;5;1;32;32;26;10
108116;Orange;0;17;20;14;5;1;32;33;26;10
108117;Orange;0;17;20;14;5;1;32;33;26;10
108118;Orange;0;17;20;14;5;1;32;33;26;10
108119;Orange;0;17;20;14;5;1;32;33;26;10
108120;Orange;0;17;19;14;5;1;38;32;26;10
108121;Orange;0;17;19;14;5;1;32;33;26;10
108122;Orange;0;17;20;14;5;1;32;32;26;10
108123;Orange;0;17;20;14;5;1;32;33;26;10
108124;Orange;0;17;20;15;5;1;32;33;26;10
108125;Orange;0;17;20;14;5;1;32;33;26;10
108126;Orange;0;17;20;14;5;1;32;33;26;10
108127;Orange;0;17;19;14;5;1;32;32;26;10
108128;Orange;0;17;20;14;5;1;32;33;26;10
108129;Orange;0;17;20;14;5;1;32;33;24;10
108130;Orange;0;17;20;14;5;1;32;33;26;10
108131;Orange;0;22;20;14;5;1;32;33;26;10
108132;Orange;0;17;20;14;5;1;32;33;26;10
108133;Orange;0;17;19;14;5;1;32;33;26;10
108134;Orange;0;17;20;14;5;1;32;33;26;10
108135;Orange;0;17;20;14;5;1;32;33;26;10
108136;Orange;0;17;20;14;5;1;32;33;26;4
108137;Orange;0;17;20;14;5;1;32;33;26;10
108138;Orange;0;17;19;14;5;1;32;32;26;10
108139;Orange;0;17;20;14;5;1;32;32;26;10
108140;Orange;0;17;20;14;5;1;32;33;26;10
108141;Orange;0;17;20;14;5;1;30;33;26;10
108142;Orange;0;17;20;14;5;1;32;33;27;10
108143;Orange;0;17;19;14;5;1;32;33;26;10
108144;Orange;0;17;20;14;5;1;32;33;26;10
108145;Orange;0;17;19;14;5;1;32;33;26;10
108146;Orange;0;17;20;14;5;1;32;33;26;10
108147;Orange;0;17;20;14;5;1;32;33;26;10
108148;Orange;0;17;20;14;5;1;32;30;26;10
108149;Orange;0;17;20;14;5;1;32;33;26;10
108150;Orange;0;17;19;14;5;1;32;33;26;10
108151;Orange;0;17;20;15;5;1;32;32;26;10
108152;Orange;0;17;20;14;5;1;32;33;26;10
108153;Orange;0;17;20;14;5;1;32;33;26;10
108154;Orange;0;17;20;14;5;1;32;33;26;10
108155;Orange;0;17;19;14;5;1;32;33;26;10
108156;Orange;0;17;20;14;5;1;32;32;26;10
108157;Orange;0;17;20;14;5;1;32;33;26;15
108158;Orange;0;17;20;14;5;1;32;32;26;10
108159;Orange;0;17;20;14;5;1;32;33;26;10
108160;Orange;0;17;20;14;5;1;32;33;26;10
108161;Orange;0;17;20;14;5;1;32;33;26;10
108162;Orange;0;17;19;14;5;1;32;32;26;10
108163;Orange;0;17;20;14;5;1;32;33;26;10
108164;Orange;0;17;20;14;5;1;32;33;26;10
108165;Orange;0;17;20;14;5;1;32;33;26;10
108166;Orange;0;17;20;14;5;1;32;33;26;10
108167;Orange;0;17;19;14;5;1;32;33;26;10
108168;Orange;0;17;19;14;5;1;32;32;26;10
108169;Orange;0;17;20;14;5;1;32;33;26;10
108170;Orange;0;17;19;14;5;1;32;33;26;10
108171;Orange;0;17;20;14;5;1;32;33;26;10
108172;Orange;0;17;20;14;5;1;32;33;26;10
108173;Orange;0;17;20;14;5;1;32;33;26;10
108174;Orange;0;17;20;14;5;1;32;33;26;10
108175;Orange;0;17;20;14;5;1;32;32;26;10
108176;Orange;0;17;20;15;5;1;32;33;26;10
108177;Orange;0;17;20;14;5;1;32;33;26;10
108178;Orange;0;17;20;14;5;1;32;33;26;14
108179;Orange;0;17;20;14;5;1;32;33;26;10
108180;Orange;0;17;20;14;5;1;32;32;26;10
108181;Orange;0;17;20;14;5;1;32;33;26;10
108182;Orange;0;17;20;14;5;1;32;37;26;10
108183;Orange;0;17;20;14;5;1;32;32;26;10
108184;Orange;0;17;20;14;5;1;32;33;26;10
108185;Orange;0;17;20;14;5;1;32;33;26;10
108186;Orange;0;17;19;14;5;1;32;32;26;10
108187;Orange;0;17;20;14;5;1;32;33;26;10
108188;Orange;0;17;19;14;5;1;32;33;26;10
108189;Orange;0;17;20;14;5;1;32;33;26;10
108190;Orange;0;17;20;14;5;1;32;25;26;10
108191;Orange;0;17;20;14;5;1;32;33;26;10
108192;Orange;0;17;19;14;5;1;32;32;26;10
108193;Orange;0;17;19;14;5;1;32;33;26;10
108194;Orange;0;17;20;14;5;1;32;33;26;10
108195;Orange;0;17;20;14;5;1;32;33;26;10
108196;Orange;0;17;20;14;5;1;32;33;26;10
108197;Orange;0;17;20;14;5;1;32;33;26;10
108198;Orange;0;17;20;14;5;1;32;32;26;10
108199;Orange;0;13;19;14;5;1;32;32;26;10
108200;Orange;0;17;20;14;5;1;32;33;26;10
108201;Orange;0;17;20;14;5;1;32;33;26;10
108202;Orange;0;17;20;14;5;1;32;33;26;10
108203;Orange;0;17;20;14;5;1;32;33;26;10
108204;Orange;0;17;19;15;5;1;32;33;26;10
108205;Orange;0;17;20;9;5;1;32;32;26;10
108206;Orange;0;17;20;14;5;1;32;33;26;10
108207;Orange;0;17;20;14;5;1;32;33;26;10
108208;Orange;0;17;20;14;5;1;32;33;26;10
108209;Orange;0;17;20;14;5;1;32;33;26;16
108210;Orange;0;17;19;14;5;1;32;33;26;10
108211;Orange;0;17;20;14;5;1;32;33;26;10
108212;Orange;0;17;20;14;5;1;32;33;26;10
108213;Orange;0;17;20;14;5;1;32;33;26;10
108214;Orange;0;17;20;14;5;1;32;33;26;10
108215;Orange;0;17;20;14;5;1;32;33;26;10
108216;Orange;0;17;20;14;5;1;32;33;26;10
108217;Orange;0;17;19;14;5;1;32;32;26;10
108218;Orange;0;17;20;14;5;1;32;33;26;10
108219;Orange;0;17;20;14;5;1;32;33;26;10
108220;Orange;0;17;20;14;5;1;32;33;26;10
108221;Orange;0;17;20;15;5;1;32;33;26;10
